name,type,path
CMDx::MiddlewareRegistry.call!,Method,CMDx/MiddlewareRegistry.md#method-i-call!
CMDx::MiddlewareRegistry.deregister,Method,CMDx/MiddlewareRegistry.md#method-i-deregister
CMDx::MiddlewareRegistry.dup,Method,CMDx/MiddlewareRegistry.md#method-i-dup
CMDx::MiddlewareRegistry.initialize,Method,CMDx/MiddlewareRegistry.md#method-i-initialize
CMDx::MiddlewareRegistry.register,Method,CMDx/MiddlewareRegistry.md#method-i-register
registry,Attribute,CMDx/MiddlewareRegistry.md#attribute-i-registry
CMDx::LogFormatters::Logstash,Class,CMDx/LogFormatters/Logstash.md
CMDx::LogFormatters::Logstash.call,Method,CMDx/LogFormatters/Logstash.md#method-i-call
CMDx::LogFormatters::KeyValue,Class,CMDx/LogFormatters/KeyValue.md
CMDx::LogFormatters::KeyValue.call,Method,CMDx/LogFormatters/KeyValue.md#method-i-call
Cmdx::TaskGenerator,Class,Cmdx/TaskGenerator.md
Cmdx::TaskGenerator.copy_files,Method,Cmdx/TaskGenerator.md#method-i-copy_files
Cmdx::LocaleGenerator,Class,Cmdx/LocaleGenerator.md
Cmdx::LocaleGenerator.copy_locale_files,Method,Cmdx/LocaleGenerator.md#method-i-copy_locale_files
Cmdx::InstallGenerator,Class,Cmdx/InstallGenerator.md
Cmdx::InstallGenerator.copy_initializer_file,Method,Cmdx/InstallGenerator.md#method-i-copy_initializer_file
Cmdx::WorkflowGenerator,Class,Cmdx/WorkflowGenerator.md
Cmdx::WorkflowGenerator.copy_files,Method,Cmdx/WorkflowGenerator.md#method-i-copy_files
